,Location,Period,Indicator,Dim1,First Tooltip
3735,Botswana,1994,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,63.23 [50.89-79.26]
3736,Botswana,1994,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,67.24 [54.06-84.42]
3737,Botswana,1994,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,59.12 [47.31-74.18]
3738,Botswana,1993,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,58.49 [47.52-72.82]
3739,Botswana,1993,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,62.46 [50.59-77.83]
3740,Botswana,1993,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,54.36 [43.91-67.71]
3741,Botswana,1992,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,54.14 [44.41-66.65]
3742,Botswana,1992,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,58.23 [47.72-71.7]
3743,Botswana,1992,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,49.89 [40.78-61.56]
3744,Botswana,1991,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,50.62 [42.2-61.35]
3745,Botswana,1991,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,54.7 [45.51-66.37]
3746,Botswana,1991,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,46.33 [38.44-56.37]
3747,Botswana,1990,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,48.36 [40.74-57.9]
3748,Botswana,1990,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,52.46 [44.09-62.93]
3749,Botswana,1990,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,44.04 [36.98-52.88]
3750,Botswana,1989,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,47.65 [40.43-56.34]
3751,Botswana,1989,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,51.88 [43.94-61.62]
3752,Botswana,1989,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,43.23 [36.53-51.29]
3753,Botswana,1988,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,48.42 [41.43-56.61]
3754,Botswana,1988,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,52.75 [45.05-61.93]
3755,Botswana,1988,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,43.91 [37.41-51.62]
3756,Botswana,1987,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,50.28 [43.3-58.47]
3757,Botswana,1987,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,54.77 [47.07-63.91]
3758,Botswana,1987,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,45.55 [39.07-53.31]
3759,Botswana,1986,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,52.77 [45.56-61.32]
3760,Botswana,1986,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,57.39 [49.46-66.84]
3761,Botswana,1986,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,47.91 [41.2-55.8]
3762,Botswana,1985,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,55.65 [48.08-64.78]
3763,Botswana,1985,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,60.46 [52.03-70.44]
3764,Botswana,1985,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,50.54 [43.62-59.06]
3765,Botswana,1984,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,58.7 [50.65-68.24]
3766,Botswana,1984,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,63.65 [54.89-74.18]
3767,Botswana,1984,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,53.44 [46.1-62.38]
3768,Botswana,1983,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,61.87 [53.54-71.61]
3769,Botswana,1983,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,66.95 [57.77-77.76]
3770,Botswana,1983,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,56.5 [48.78-65.81]
3771,Botswana,1982,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,65.24 [56.57-75.53]
3772,Botswana,1982,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,70.53 [60.85-81.68]
3773,Botswana,1982,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,59.68 [51.6-69.45]
3774,Botswana,1981,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,68.96 [59.86-79.58]
3775,Botswana,1981,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,74.35 [64.27-85.97]
3776,Botswana,1981,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,63.28 [54.8-73.36]
3777,Botswana,1980,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,73.09 [63.49-84.05]
3778,Botswana,1980,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,78.69 [68.12-90.61]
3779,Botswana,1980,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,67.22 [58.22-77.78]
3780,Botswana,1979,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,77.63 [67.55-89.25]
3781,Botswana,1979,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,83.32 [72.22-95.97]
3782,Botswana,1979,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,71.69 [62.16-82.74]
3783,Botswana,1978,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,82.66 [72.11-94.81]
3784,Botswana,1978,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,88.47 [76.83-101.6]
3785,Botswana,1978,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,76.52 [66.54-88.11]
3786,Botswana,1977,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,88.07 [76.89-101]
3787,Botswana,1977,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,94.06 [81.73-108.2]
3788,Botswana,1977,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,81.75 [71.2-94.11]
3789,Botswana,1976,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,93.59 [81.8-107]
3790,Botswana,1976,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,99.68 [86.79-114.4]
3791,Botswana,1976,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,87.06 [75.87-100.1]
3792,Botswana,1975,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,99.07 [86.59-113]
3793,Botswana,1975,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,105.4 [91.72-120.8]
3794,Botswana,1975,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,92.34 [80.66-106]
3795,Botswana,1974,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,104.3 [91.56-118.6]
3796,Botswana,1974,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,110.8 [96.98-126.4]
3797,Botswana,1974,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,97.53 [85.38-111.5]
3798,Botswana,1973,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,109.5 [96.58-123.7]
3799,Botswana,1973,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,116.1 [102.1-131.7]
3800,Botswana,1973,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,102.4 [90.22-116.5]
3801,Botswana,1972,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,114.4 [101.4-128.9]
3802,Botswana,1972,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,121.2 [106.6-137]
3803,Botswana,1972,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,107.2 [94.84-121.5]
3804,Botswana,1971,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,119.3 [105.9-134]
3805,Botswana,1971,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,126.2 [111.4-142.1]
3806,Botswana,1971,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,112 [99.18-126.5]
3807,Botswana,1970,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,123.9 [110.1-139.3]
3808,Botswana,1970,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,130.9 [115.8-147.5]
3809,Botswana,1970,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,116.4 [103-131.7]
3810,Botswana,1969,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,128.4 [113.8-144.8]
3811,Botswana,1969,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,135.5 [119.6-153.2]
3812,Botswana,1969,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,120.9 [106.7-137]
3813,Botswana,1968,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,132.8 [117.1-150.2]
3814,Botswana,1968,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,139.9 [122.9-158.8]
3815,Botswana,1968,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,125.1 [109.9-142.5]
3816,Botswana,1967,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,136.8 [120-155.8]
3817,Botswana,1967,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,144.1 [125.9-164.4]
3818,Botswana,1967,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,129.1 [112.8-147.7]
3819,Botswana,1966,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,140.7 [123-161]
3820,Botswana,1966,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,148.1 [129.1-169.8]
3821,Botswana,1966,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,132.9 [115.6-152.7]
3822,Botswana,1965,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,144.7 [126.1-165.7]
3823,Botswana,1965,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,152.1 [132.3-174.8]
3824,Botswana,1965,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,136.7 [118.5-157.3]
3825,Botswana,1964,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,148.6 [129.5-170.6]
3826,Botswana,1964,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,156.2 [135.9-179.6]
3827,Botswana,1964,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,140.6 [122.2-162.2]
3828,Botswana,1963,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,153.1 [133.1-175.6]
3829,Botswana,1963,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,160.6 [139.4-185]
3830,Botswana,1963,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,145 [125.8-167.2]
3831,Botswana,1962,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,157.7 [136.6-182]
3832,Botswana,1962,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,165.5 [142.6-191.5]
3833,Botswana,1962,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,149.6 [129.2-173.1]
3834,Botswana,1961,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,162.7 [139.9-188.4]
3835,Botswana,1961,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,170.5 [146.2-197.8]
3836,Botswana,1961,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,154.4 [132.5-179.5]
3837,Botswana,1960,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,167.6 [142.8-196]
3838,Botswana,1960,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,175.6 [149.3-205.7]
3839,Botswana,1960,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,159.3 [135.1-186.7]
3840,Botswana,1959,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,172.8 [145.5-204.8]
3841,Botswana,1959,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,181.2 [151.9-215.1]
3842,Botswana,1959,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,164.5 [137.8-195.1]
3843,Botswana,1958,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,178.5 [147.9-215.2]
3844,Botswana,1958,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,186.8 [154.3-225.8]
3845,Botswana,1958,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,169.8 [139.9-204.9]
3846,Botswana,1957,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,184.8 [148.6-228.1]
3847,Botswana,1957,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,193 [155-239]
3848,Botswana,1957,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,175.4 [141.1-218]
3849,Botswana,1956,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,190.5 [147.5-244]
3850,Botswana,1956,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,199.3 [154.1-256.3]
3851,Botswana,1956,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,181.4 [140.3-233.2]
3852,Botswana,1955,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,196.6 [144-264.4]
3853,Botswana,1955,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,205.4 [150.2-277.8]
3854,Botswana,1955,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,187.3 [137.1-252.6]
3855,Brazil,2019,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,13.94 [11.66-16.54]
3856,Brazil,2019,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,15.51 [12.93-18.46]
3857,Brazil,2019,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,12.26 [10.21-14.64]
3858,Brazil,2018,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,14.36 [12.51-16.44]
3859,Brazil,2018,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,16.01 [13.9-18.39]
3860,Brazil,2018,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,12.63 [10.91-14.57]
3861,Brazil,2017,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,14.81 [13.36-16.36]
3862,Brazil,2017,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,16.49 [14.82-18.35]
3863,Brazil,2017,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,13.02 [11.65-14.55]
3864,Brazil,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,16.36 [15.19-17.58]
3865,Brazil,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,18.1 [16.72-19.58]
3866,Brazil,2016,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,14.51 [13.33-15.77]
3867,Brazil,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,15.72 [14.96-16.5]
3868,Brazil,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,17.52 [16.54-18.57]
3869,Brazil,2015,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,13.81 [12.93-14.72]
3870,Brazil,2014,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,16.2 [15.7-16.7]
3871,Brazil,2014,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,18.06 [17.28-18.86]
3872,Brazil,2014,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,14.23 [13.5-14.98]
3873,Brazil,2013,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,16.71 [16.34-17.08]
3874,Brazil,2013,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,18.64 [17.95-19.35]
3875,Brazil,2013,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,14.68 [13.99-15.38]
3876,Brazil,2012,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,17.27 [16.93-17.63]
3877,Brazil,2012,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,19.27 [18.57-19.99]
3878,Brazil,2012,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,15.18 [14.48-15.88]
3879,Brazil,2011,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,17.92 [17.52-18.33]
3880,Brazil,2011,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,19.99 [19.25-20.78]
3881,Brazil,2011,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,15.73 [15-16.47]
3882,Brazil,2010,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,18.68 [18.16-19.21]
3883,Brazil,2010,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,20.84 [20-21.73]
3884,Brazil,2010,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,16.4 [15.6-17.21]
3885,Brazil,2009,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,19.56 [18.87-20.29]
3886,Brazil,2009,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,21.84 [20.82-22.9]
3887,Brazil,2009,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,17.18 [16.26-18.12]
3888,Brazil,2008,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,20.6 [19.69-21.55]
3889,Brazil,2008,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,23 [21.78-24.28]
3890,Brazil,2008,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,18.09 [17.03-19.2]
3891,Brazil,2007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,21.81 [20.66-22.98]
3892,Brazil,2007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,24.33 [22.91-25.88]
3893,Brazil,2007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,19.15 [17.88-20.44]
3894,Brazil,2006,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,23.18 [21.84-24.61]
3895,Brazil,2006,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,25.86 [24.21-27.65]
3896,Brazil,2006,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,20.36 [18.93-21.85]
3897,Brazil,2005,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,24.73 [23.23-26.36]
3898,Brazil,2005,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,27.59 [25.76-29.61]
3899,Brazil,2005,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,21.72 [20.18-23.42]
3900,Brazil,2004,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,26.44 [24.8-28.29]
3901,Brazil,2004,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,29.48 [27.46-31.74]
3902,Brazil,2004,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,23.25 [21.54-25.15]
3903,Brazil,2003,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,28.3 [26.52-30.33]
3904,Brazil,2003,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,31.53 [29.36-33.97]
3905,Brazil,2003,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,24.91 [23.09-26.94]
3906,Brazil,2002,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,30.29 [28.38-32.49]
3907,Brazil,2002,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,33.72 [31.41-36.33]
3908,Brazil,2002,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,26.69 [24.75-28.88]
3909,Brazil,2001,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,32.41 [30.35-34.73]
3910,Brazil,2001,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,36.05 [33.57-38.86]
3911,Brazil,2001,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,28.58 [26.5-30.87]
3912,Brazil,2000,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,34.63 [32.4-37.06]
3913,Brazil,2000,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,38.5 [35.82-41.44]
3914,Brazil,2000,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,30.58 [28.32-33.02]
3915,Brazil,1999,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,36.97 [34.59-39.6]
3916,Brazil,1999,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,41.01 [38.18-44.17]
3917,Brazil,1999,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,32.7 [30.32-35.29]
3918,Brazil,1998,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,39.42 [36.93-42.22]
3919,Brazil,1998,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,43.71 [40.69-47.08]
3920,Brazil,1998,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,34.91 [32.36-37.62]
3921,Brazil,1997,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,42.04 [39.35-45.02]
3922,Brazil,1997,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,46.5 [43.28-50.13]
3923,Brazil,1997,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,37.31 [34.6-40.24]
3924,Brazil,1996,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,44.81 [41.92-48.07]
3925,Brazil,1996,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,49.48 [46.02-53.38]
3926,Brazil,1996,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,39.88 [37-43.08]
3927,Brazil,1995,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,47.79 [44.71-51.2]
3928,Brazil,1995,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,52.72 [49.04-56.8]
3929,Brazil,1995,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,42.62 [39.51-45.93]
3930,Brazil,1994,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,50.88 [47.57-54.56]
3931,Brazil,1994,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,56.02 [52.08-60.41]
3932,Brazil,1994,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,45.49 [42.19-49.09]
3933,Brazil,1993,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,54.03 [50.47-57.93]
3934,Brazil,1993,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,59.35 [55.18-63.93]
3935,Brazil,1993,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,48.44 [44.89-52.24]
3936,Brazil,1992,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,57.13 [53.33-61.18]
3937,Brazil,1992,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,62.71 [58.29-67.45]
3938,Brazil,1992,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,51.25 [47.5-55.28]
3939,Brazil,1991,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,60.07 [56.04-64.35]
3940,Brazil,1991,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,65.86 [61.25-70.85]
3941,Brazil,1991,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,53.99 [50.04-58.36]
3942,Brazil,1990,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,62.87 [58.62-67.39]
3943,Brazil,1990,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,68.82 [63.95-74.11]
3944,Brazil,1990,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,56.6 [52.49-61.11]
3945,Brazil,1989,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,65.55 [61.02-70.43]
3946,Brazil,1989,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,71.66 [66.46-77.31]
3947,Brazil,1989,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,59.14 [54.69-63.97]
3948,Brazil,1988,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,68.26 [63.4-73.44]
3949,Brazil,1988,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,74.49 [68.95-80.35]
3950,Brazil,1988,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,61.68 [56.85-66.78]
3951,Brazil,1987,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,71 [65.81-76.45]
3952,Brazil,1987,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,77.45 [71.5-83.73]
3953,Brazil,1987,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,64.21 [59.11-69.55]
3954,Brazil,1986,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,73.87 [68.36-79.57]
3955,Brazil,1986,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,80.51 [74.25-87.05]
3956,Brazil,1986,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,66.88 [61.58-72.4]
3957,Brazil,1985,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,76.86 [71.17-82.73]
3958,Brazil,1985,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,83.67 [77.28-90.45]
3959,Brazil,1985,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,69.72 [64.21-75.4]
3960,Brazil,1984,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,80.15 [74.26-86.17]
3961,Brazil,1984,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,87.12 [80.47-94.04]
3962,Brazil,1984,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,72.75 [67.08-78.62]
3963,Brazil,1983,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,83.72 [77.79-89.91]
3964,Brazil,1983,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,90.97 [84.2-98.01]
3965,Brazil,1983,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,76.07 [70.24-82.09]
3966,Brazil,1982,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,87.62 [81.51-94.03]
3967,Brazil,1982,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,95.16 [88.23-102.4]
3968,Brazil,1982,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,79.65 [73.69-85.88]
3969,Brazil,1981,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,91.75 [85.51-98.41]
3970,Brazil,1981,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,99.58 [92.51-107.1]
3971,Brazil,1981,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,83.5 [77.37-90.07]
3972,Brazil,1980,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,96.07 [89.62-103.1]
3973,Brazil,1980,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,104.2 [96.82-112.2]
3974,Brazil,1980,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,87.51 [81.14-94.37]
3975,Brazil,1979,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,100.4 [93.57-107.8]
3976,Brazil,1979,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,108.9 [101.1-117.3]
3977,Brazil,1979,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,91.52 [84.86-98.71]
3978,Brazil,1978,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Both sexes,104.6 [97.41-112.4]
3979,Brazil,1978,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Male,113.4 [105.2-122.2]
3980,Brazil,1978,Under-five mortality rate (probability of dying by age 5 per 1000 live births),Female,95.34 [88.27-102.9]
